filename,id,title,text,sentence_count,sentence,question,answer
wiki_01,705,Bilgisayar programcılığı,"Bilgisayar programcılığı, söz dizimi ve anlamı tanımlanmış bir kurallar bütünü olan programlama dillerini kullanıp sonlu sayıda komutu yazarak bilgisayara belirli bir işi yaptırmaktır.",1,"Bilgisayar programcılığı, söz dizimi ve anlamı tanımlanmış bir kurallar bütünü olan programlama dillerini kullanıp sonlu sayıda komutu yazarak bilgisayara belirli bir işi yaptırmaktır.",Metne göre bilgisayar programcılığı ne şekilde tanımlanmaktadır?,"Bilgisayar programcılığı, söz dizimi ve anlamı tanımlanmış bir kurallar bütünü olan programlama dillerini kullanarak sonlu sayıda komut yazarak bilgisayara belirli bir işi yaptırma eylemidir."
wiki_06,2308,1982,1982 (MCMLXXXII) bir yıldır.,1,1982 (MCMLXXXII) bir yıldır.,Metne göre 1982 nedir?,1982 bir yıldır.
wiki_16,5792,CHP (anlam ayrımı),CHP şu anlamlara gelebilir:,1,CHP şu anlamlara gelebilir:,"Metinde 'CHP şu anlamlara gelebilir' denmesine rağmen, bu anlamlar neden belirtilmemiştir?","Metin, 'CHP şu anlamlara gelebilir:' ifadesini kullanmasına rağmen, bu anlamların listesini sunmadan bitmiştir, dolayısıyla metin içinde herhangi bir anlam belirtilmemiştir."
wiki_17,6037,Kariyer yönetimi,"Kariyer yönetimi, İnsan kaynakları planları ile sistemin bütünleştirilmesi, kariyer yollarının belirlenmesi, kariyer bilgisinin artırılması için açık işlerin duyurulması, çalışanların başarımlarının değerlendirilmesi, astlara kariyer danışmanlığı yapılması, iş deneyimlerinin artırılması ve eğitim programlarının düzenlenmesi etkinliklerinin tümüdür.",1,"Kariyer yönetimi, İnsan kaynakları planları ile sistemin bütünleştirilmesi, kariyer yollarının belirlenmesi, kariyer bilgisinin artırılması için açık işlerin duyurulması, çalışanların başarımlarının değerlendirilmesi, astlara kariyer danışmanlığı yapılması, iş deneyimlerinin artırılması ve eğitim programlarının düzenlenmesi etkinliklerinin tümüdür.","Metne göre, kariyer yönetimi hangi temel etkinlikleri içerir?","Metne göre kariyer yönetimi; İnsan kaynakları planları ile sistemin bütünleştirilmesi, kariyer yollarının belirlenmesi, açık işlerin duyurulması, çalışanların başarımlarının değerlendirilmesi, astlara kariyer danışmanlığı yapılması, iş deneyimlerinin artırılması ve eğitim programlarının düzenlenmesi gibi etkinliklerin tümünü kapsar."
wiki_18,6212,Zemberek,Zemberek kelimesinin çeşitli anlamları ve kullanımları vardır:,1,Zemberek kelimesinin çeşitli anlamları ve kullanımları vardır:,Metinde 'zemberek' kelimesi hakkında ne tür bir bilgi verilmektedir?,Metinde 'zemberek' kelimesinin çeşitli anlamları ve kullanımları olduğu belirtilmektedir.
wiki_19,6369,Daihatsu,"Daihatsu, 1907'de kurulan Japon otomobil üreticisi.",1,"Daihatsu, 1907'de kurulan Japon otomobil üreticisi.",Daihatsu hangi yıl kurulmuştur?,Daihatsu 1907 yılında kurulmuştur.
wiki_21,7273,Türk devletleri listesi,"Bu liste tarih boyunca Türk halkları tarafından kurulmuş özerk cumhuriyet, bağımsız cumhuriyet, beylik, imparatorluk ve hanedanlık hakkındadır.",1,"Bu liste tarih boyunca Türk halkları tarafından kurulmuş özerk cumhuriyet, bağımsız cumhuriyet, beylik, imparatorluk ve hanedanlık hakkındadır.","Metinde belirtilene göre, Türk halkları tarih boyunca hangi yönetim biçimlerini veya devlet yapılarını kurmuşlardır?","Metinde belirtilene göre, Türk halkları tarih boyunca özerk cumhuriyet, bağımsız cumhuriyet, beylik, imparatorluk ve hanedanlık gibi çeşitli yönetim biçimlerini veya devlet yapılarını kurmuşlardır."
wiki_26,9256,Finlandiya'daki futbol kulüpleri listesi,Bu liste Finlandiya'daki futbol kulüplerini içermektedir.,1,Bu liste Finlandiya'daki futbol kulüplerini içermektedir.,Bu liste hangi ülkenin futbol kulüplerini içermektedir?,Bu liste Finlandiya'daki futbol kulüplerini içermektedir.
wiki_30,11129,Derebucak,"Derebucak, Konya'nın bir ilçesidir.",1,"Derebucak, Konya'nın bir ilçesidir.",Derebucak hangi ilin ilçesidir?,Konya'nın.
wiki_31,11715,Carduelis,"Carduelis, Fringillidae familyasına bağlı bir hayvan cinsidir.",1,"Carduelis, Fringillidae familyasına bağlı bir hayvan cinsidir.",Carduelis hangi familyaya aittir?,"Carduelis, Fringillidae familyasına bağlı bir hayvan cinsidir."
